,0
,2017-03-31
Acqui Terme,0
Affi,1
Alba,2
Alessandria,1
Ancona,5
Antibes,1
Aosta,1
Arco,0
Arma Di Taggia,1
Ascoli Piceno,0
Aspio Terme,1
Asti,1
Basilea,0
Bassano Del Grappa,4
Bellinzona,1
Bergamo,0
Bevagna,0
Bologna,15
Bolzano,1
Borgomanero,0
Borno,0
Brescia,1
Calenzano,1
Carrara,3
Casalecchio Di Reno,2
Castelfranco Veneto,4
Cattolica,2
Ceparana,2
Ceriale,4
Cesena,6
Cesuna,0
Chambéry,0
Chamonix-Mont-Blanc,0
Chiasso,0
Chiavari,3
Civitanova Marche,3
Concesio,0
Courmayeur,0
Cuneo,1
Darfo,1
Desenzano del Garda,0
Domodossola,1
Faenza,2
Fano,1
Ferrara,2
Finale Ligure,2
Firenze,10
Foligno,0
Forlì,4
Formia,0
Fornacette,1
Genova,28
Grottammare,1
Imperia,8
La Spezia,8
Lavagna,3
Le Grand-Saconnex,0
Lecco,0
Lido Di Camaiore,3
Loano,5
Losanna,0
Lucca,6
Lucerna,1
Lugano,0
Lumarzo,0
Mannheim,0
Mantova,0
Marina Di Carrara,3
Massarosa,0
Modena,5
Molfetta,1
Monaco-Ville,1
Moneglia,0
Montelupo Fiorentino,0
Morbegno,0
Mulhouse,0
Napoli,0
Nizza,2
Novafeltria,0
Orio al Serio,0
Ornavasso,0
Padova,13
Parigi,1
Parma,6
Pavia,0
Perugia,2
Pesaro,3
Pescara,1
Piacenza,1
Pinzolo,1
Piombino,0
Pisa,10
Pistoia,1
Ponte San Giovanni,1
Portoferraio,0
Portogruaro,2
Prato,1
Preganziol,1
Quarona,0
Quarto D'altino,1
Rapallo,2
Ravenna,1
Recanati,0
Recco,1
Reggio Emilia,1
Riccione,4
Rimini,8
Riva Del Garda,0
Roma,4
Ronco Scrivia,1
Rondissone,0
Rovereto,1
Salvano,1
Salò,1
San Benedetto Del Tronto,1
San Vincenzo,1
Sanremo,3
Santena,0
Santo Stefano Di Magra,2
Santuario,2
Sarzana,2
Sassuolo,0
Savona,7
Senigallia,3
Sestri Levante,5
Siena,2
Silea,6
Sirmione,0
Sondrio,0
Suvereto,0
Tirano,0
Torino,6
Trarego Viggiona,0
Trento,10
Treviso,7
Trieste,2
Udine,8
Varese,0
Vasto,1
Venezia,1
Verbania,0
Verona,8
Viareggio,3
Vicenza,5
Vinovo,0
